0.00061087,0.01346222,0.02710236,0.00210372,0.01989343,0.01272043,0.00140794,0.03366382,0.00204443,0.00013124,0.00066980,0.00021489,0.00289087,0.00052988
0.00049134,0.01380233,0.03390071,0.00170367,0.02919512,0.01159030,0.00132894,0.03784888,0.00109475,0.00001850,0.00046140,0.00012971,0.00210485,0.00057450
0.00054399,0.01333061,0.03340615,0.00087543,0.01773650,0.00740500,0.00122343,0.04546527,0.00143895,0.00011355,0.00035642,0.00015935,0.00296475,0.00077082
0.00049546,0.01336843,0.02783472,0.00100861,0.01921800,0.00850652,0.00108808,0.06328503,0.00094409,0.00002165,0.00080786,0.00014318,0.00216258,0.00055674
0.00051656,0.01342658,0.03039900,0.00113534,0.02027988,0.00887397,0.00118418,0.05230085,0.00118330,0.00005586,0.00060988,0.00015039,0.00244326,0.00062348
0.00019939,0.00056302,0.00866099,0.00058812,0.00706815,0.00576015,0.00086006,0.01052382,0.00045909,0.00008738,0.00069592,0.00027665,0.00231468,0.00040467
0.00014938,0.00074258,0.01054820,0.00065803,0.02649531,0.01371549,0.00049872,0.01678690,0.00026066,0.00001973,0.00028877,0.00019111,0.00079684,0.00049570
0.00012549,0.00032631,0.01064163,0.00021611,0.00563643,0.00487921,0.00040896,0.01701044,0.00041123,0.00004182,0.00018352,0.00015414,0.00214561,0.00045457
0.00019732,0.00069768,0.00908653,0.00037542,0.01765038,0.01126949,0.00027328,0.02702420,0.00028646,0.00002569,0.00028262,0.00011310,0.00108806,0.00041494
0.00011717,0.00043591,0.00777354,0.00028057,0.01283579,0.00907767,0.00021108,0.02014382,0.00024383,0.00002318,0.00018339,0.00007414,0.00093464,0.00032061
